city,state,date,type,description,source,severity
New York City,NY,Unknown,ICE_OPERATION,How a Former Trump Golf Club Worker Was Mistakenly Deported to Mexico - The New York Times(opens in a new tab),https://www.nytimes.com/2025/10/30/nyregion/immigrant-wrongly-deported-mexico.html?unlocked_article_code=1.xU8.CJ8Q.SkfHewKy4uQr&smid=nytcore-ios-share&referringSource=articleShare,5
San Antonio,TX,Unknown,ICE_OPERATION,"Children left short of clean water and sleep amid 'prolonged' detention by ICE, watchdog groups allege - The Guardian(opens in a new tab)",https://www.theguardian.com/us-news/2025/sep/28/ice-detention-texas-children,6
Elgin,IL,Unknown,POLICE_VIOLENCE,"2 apparent US citizens swept up by ICE in Elgin, Illinois; Melrose Park protest gets underway with Kristi Noem in Chicago area - ABC7 Chicago(opens in",https://abc7chicago.com/post/ice-chicago-news-mexican-independence-day-fears-among-areas-immigrant-community-grow-reports-arrests/17826326/,8
Portland,OR,Unknown,CONSTITUTIONAL_VIOLATION,ICE arrests US citizen in Oregon. Attorney decries 'illegal abduction' - The Oregonian(opens in a new tab),https://www.oregonlive.com/politics/2025/10/ice-arrests-us-citizen-in-oregon-attorney-decries-illegal-abduction.html,6
Broadview,IL,Unknown,POLICE_VIOLENCE,"How Trump's Chicago Immigration Crackdown Escalated, in 10 Videos - The New York Times(opens in a new tab)",https://www.nytimes.com/2025/10/12/us/chicago-immigration-crackdown-videos.html,7
Chicago,IL,Unknown,CONSTITUTIONAL_VIOLATION,Chicago immigration: Ald. Fuentes says agents handcuffed her in Humboldt Park; Pritzker calls for South Shore raid investigation - ABC7 Chicago(opens ,https://abc7chicago.com/post/chicago-immigration-news-aldermen-speak-militarized-enforcement-humboldt-park-area/17931599/,8
Hillsboro,OR,Unknown,POLICE_VIOLENCE,"ICE in Oregon: Pointing rifles at family, stopping teens at gunpoint, pinning man during arrest - The Oregonian(opens in a new tab)",https://www.oregonlive.com/politics/2025/10/ice-in-oregon-pointing-rifles-at-family-stopping-minors-at-gunpoint-laying-on-top-of-man-during-arrest.html,8
Brighton Park,IL,Unknown,POLICE_VIOLENCE,"ICE and Border Patrol's use of tear gas injures, sickens and tests the law - The Washington Post(opens in a new tab)",https://www.washingtonpost.com/immigration/2025/11/01/dhs-ice-border-patrol-chicago-tear-gas/,7
Portland,OR,Unknown,POLICE_VIOLENCE,Federal agents knock down elderly couple during Portland protest - oregonlive.com(opens in a new tab),https://www.oregonlive.com/politics/2025/10/federal-agents-knock-down-elderly-couple-during-portland-protest.html,8
Los Angeles,CA,Unknown,POLICE_VIOLENCE,"ICE Agents Rip Clothes Off Woman During Arrest, Video Shows - Newsweek(opens in a new tab)",https://www.newsweek.com/ice-agents-rip-clothes-off-woman-during-arrest-video-shows-10837930,7
Chicago,IL,Unknown,POLICE_VIOLENCE,"How Trump's Chicago Immigration Crackdown Escalated, in 10 Videos - The New York Times(opens in a new tab)",https://www.nytimes.com/2025/10/12/us/chicago-immigration-crackdown-videos.html,7
Portland,OR,Unknown,POLICE_VIOLENCE,Documents Allege a Federal Agent at Portland ICE Threatened to Shoot an Ambulance Driver - Willamette Week(opens in a new tab),https://www.wweek.com/news/2025/10/12/documents-allege-a-federal-agent-at-portland-ice-threatened-to-shoot-an-ambulance-driver/,8
Waukegan,IL,Unknown,POLICE_VIOLENCE,Waukegan mayor intervenes as U.S. citizen detained by Border Patrol agents near city hall - CBS News(opens in a new tab),https://www.cbsnews.com/chicago/news/waukegan-mayor-intervenes-woman-detained-by-border-patrol-agents/,8
Waukegan,IL,Unknown,POLICE_VIOLENCE,The U.S. citizens getting caught in Trump’s immigration crackdown - The Washington Post(opens in a new tab),https://www.washingtonpost.com/immigration/2025/12/07/trump-immigration-citizens-ice-arrests/,8
Forest Park,IL,Unknown,POLICE_VIOLENCE,ICE agents clash with cemetery workers attempting to help man in river - WGN9 Chicago(opens in a new tab),https://www.wfla.com/news/national/ice-agents-clash-with-cemetery-workers-attempting-to-help-man-in-river/,8
Dallas,TX,Unknown,ICE_OPERATION,A DACA recipient objected to ICE’s detention of a community member. He’s now facing deportation | CNN(opens in a new tab),https://www.cnn.com/2025/10/28/us/texas-daca-recipient-ice-deportation,5
Fresno,CA,Unknown,ICE_OPERATION,‘It’s like a nightmare.’ ICE now detains immigrants attending permanent resident appointments in Fresno - Fresnoland(opens in a new tab),https://fresnoland.org/2025/10/27/ice-detains-immigrants-attending-permanent-resident-appointments-in-fresno/,5
Chicago,IL,Unknown,POLICE_VIOLENCE,"Women arrested by ICE in front of Chicago elementary school, accused of stalking agents - CBS Chicago(opens in a new tab)",https://www.cbsnews.com/chicago/news/women-arrested-ice-agents-west-side/,7
Chicago,IL,Unknown,POLICE_VIOLENCE,Video: Arrest of Hoffman Estates teen by ICE sparks outrage - Chicago Tribune(opens in a new tab),https://www.chicagotribune.com/2025/10/16/hoffman-estates-teen-arrested-federal-investigation/,8
Chicago,IL,Unknown,POLICE_VIOLENCE,US Citizen Dragged From Car by Border Patrol in Chicago - Newsweek(opens in a new tab),https://www.newsweek.com/us-citizen-dragged-car-border-patrol-chicago-10924948,8
Chicago,IL,Unknown,POLICE_VIOLENCE,Chicago Producer's Arrest by Border Patrol Agents Raises Legal Questions - Newsweek(opens in a new tab),https://www.newsweek.com/chicago-producer-arrest-border-patrol-agents-raises-legal-questions-10864909,8
Atlantic Highlands,NJ,Unknown,ICE_OPERATION,"New Jersey restaurant owner, father of 3 Ruperto Vicens Marquez detained by ICE despite work authorization - ABC7 Chicago(opens in a new tab)",https://abc7chicago.com/post/new-jersey-restaurant-owner-father-3-ruperto-vicens-marquez-detained-ice-despite-work-authorization/18088760/,5
